Order ID,Order Date,Ship Code,Ship Reference Number,Shipping ID,Payment method,Customer ID,Product Category ID,Sales,Quantity,Discount,Profit
OD0001,2023-05-28,AE-2023,1231682,AE-2023-1231682,E-wallet,CS0001,FUR001,261.96,2,0,41.9136
OD0002,2023-05-23,AE-2023,1263608,AE-2023-1263608,Mastercard,CS0002,FUR002,731.94,3,0,219.582
OD0003,2023-05-17,AE-2023,303016,AE-2023-303016,E-wallet,CS0003,OS006,14.62,2,0,6.8714
OD0004,2023-05-23,AE-2023,304471,AE-2023-304471,Visa,CS0004,FUR004,957.5775,5,0.45,-383.031
OD0005,2023-05-22,AE-2023,3123605,AE-2023-3123605,Visa,CS0005,OS008,22.368,2,0.2,2.5164
OD0006,2023-05-23,AE-2023,3179243,AE-2023-3179243,Visa,CS0006,FUR003,48.86,7,0,14.1694
OD0007,2023-05-03,AE-2023,3323423,AE-2023-3323423,Visa,CS0007,OS002,7.28,4,0,1.9656
OD0008,2023-05-24,AE-2023,3371820,AE-2023-3371820,Visa,CS0008,TEC004,907.152,6,0.2,90.7152
OD0009,2023-05-17,AE-2023,350473,AE-2023-350473,Mastercard,CS0009,OS003,18.504,3,0.2,5.7825
OD0010,2023-05-11,AE-2023,4073208,AE-2023-4073208,Mastercard,CS0010,OS001,114.9,5,0,34.47
OD0011,2023-05-12,AE-2023,4135578,AE-2023-4135578,Visa,CS0011,FUR004,1706.184,9,0.2,85.3092
OD0012,2023-05-21,AE-2023,4220600,AE-2023-4220600,Mastercard,CS0012,TEC004,911.424,4,0.2,68.3568
OD0013,2023-05-19,AE-2023,4244209,AE-2023-4244209,Mastercard,CS0013,OS007,15.552,3,0.2,5.4432
OD0014,2023-05-22,AE-2023,447833,AE-2023-447833,Visa,CS0014,OS003,407.976,3,0.2,132.5922
OD0015,2023-05-20,AE-2023,4984367,AE-2023-4984367,Visa,CS0015,OS001,68.81,5,0.8,-123.858
OD0016,2023-05-19,AE-2023,5077525,AE-2023-5077525,Visa,CS0016,OS003,2.544,3,0.8,-3.816
OD0017,2023-05-24,AE-2023,5351828,AE-2023-5351828,Visa,CS0017,OS008,665.88,6,0,13.3176
OD0018,2023-05-19,AE-2023,5740368,AE-2023-5740368,Visa,CS0018,OS008,55.5,2,0,9.99
OD0019,2023-05-13,AE-2023,5941050,AE-2023-5941050,Visa,CS0019,OS002,8.56,2,0,2.4824
OD0020,2023-05-13,AE-2023,633725,AE-2023-633725,Visa,CS0020,TEC004,213.48,3,0.2,16.011
OD0021,2023-05-22,AG-2023,1011961,AG-2023-1011961,Mastercard,CS0021,OS003,22.72,4,0.2,7.384
OD0022,2023-05-07,AG-2023,1031598,AG-2023-1031598,Visa,CS0022,OS002,19.46,7,0,5.0596
OD0023,2023-05-18,AG-2023,1110396,AG-2023-1110396,Visa,CS0023,OS001,60.34,7,0,15.6884
OD0024,2023-05-19,AG-2023,1153827,AG-2023-1153827,Mastercard,CS0024,FUR002,71.372,2,0.3,-1.0196
OD0025,2023-05-06,AG-2023,1231908,AG-2023-1231908,Mastercard,CS0025,FUR004,1044.63,3,0,240.2649
OD0026,2023-05-16,AG-2023,1275697,AG-2023-1275697,Mastercard,CS0026,OS003,11.648,2,0.2,4.2224
OD0027,2023-05-17,AG-2023,1310837,AG-2023-1310837,Mastercard,CS0027,TEC001,90.57,3,0,11.7741
OD0028,2023-05-17,AG-2023,1352224,AG-2023-1352224,Visa,CS0028,FUR001,3083.43,7,0.5,-1665.0522
OD0029,2023-05-16,AG-2023,1366085,AG-2023-1366085,Mastercard,CS0029,OS003,9.618,2,0.7,-7.0532
OD0030,2023-05-15,AG-2023,1400544,AG-2023-1400544,Mastercard,CS0030,FUR003,124.2,3,0.2,15.525
OD0031,2023-05-07,AG-2023,1557147,AG-2023-1557147,Visa,CS0031,OS004,3.264,2,0.2,1.1016
OD0032,2023-05-27,AG-2023,1588096,AG-2023-1588096,Visa,CS0032,OS002,86.304,6,0.2,9.7092
OD0033,2023-05-21,AG-2023,1635797,AG-2023-1635797,Visa,CS0033,OS003,6.858,6,0.7,-5.715
OD0034,2023-05-10,AG-2023,1691731,AG-2023-1691731,E-wallet,CS0034,OS002,15.76,2,0.2,3.546
OD0035,2023-05-19,AG-2023,179206,AG-2023-179206,E-wallet,CS0035,OS007,29.472,3,0.2,9.9468
OD0036,2023-05-19,AG-2023,1957110,AG-2023-1957110,E-wallet,CS0036,TEC004,1097.544,7,0.2,123.4737
OD0037,2023-05-03,AG-2023,1958395,AG-2023-1958395,Visa,CS0037,FUR003,190.92,5,0.6,-147.963
OD0038,2023-05-23,AG-2023,2056925,AG-2023-2056925,Mastercard,CS0038,OS004,113.328,9,0.2,35.415
OD0039,2023-05-11,AG-2023,2066119,AG-2023-2066119,Visa,CS0039,FUR001,532.3992,3,0.32,-46.9764
OD0040,2023-05-03,AG-2023,2198541,AG-2023-2198541,Visa,CS0040,FUR002,212.058,3,0.3,-15.147
OD0041,2023-05-01,AG-2023,2231275,AG-2023-2231275,Visa,CS0041,TEC004,371.168,4,0.2,41.7564
OD0042,2023-05-03,AG-2023,2332510,AG-2023-2332510,Visa,CS0042,TEC004,147.168,4,0.2,16.5564
OD0043,2023-05-13,AG-2023,2333770,AG-2023-2333770,Visa,CS0043,OS008,77.88,2,0,3.894
OD0044,2023-05-04,AG-2023,2383697,AG-2023-2383697,Visa,CS0044,OS008,95.616,2,0.2,9.5616
