Product Category ID,Category,Sub-Category
FUR001,Furniture,Bookcases
FUR002,Furniture,Chairs
OS006,Office Supplies,Labels
FUR004,Furniture,Tables
OS008,Office Supplies,Storage
FUR003,Furniture,Furnishings
OS002,Office Supplies,Art
TEC004,Technology,Phones
OS003,Office Supplies,Binders
OS001,Office Supplies,Appliances
FUR004,Furniture,Tables
TEC004,Technology,Phones
OS007,Office Supplies,Paper
OS003,Office Supplies,Binders
OS001,Office Supplies,Appliances
OS003,Office Supplies,Binders
OS008,Office Supplies,Storage
OS008,Office Supplies,Storage
OS002,Office Supplies,Art
TEC004,Technology,Phones
OS003,Office Supplies,Binders
OS002,Office Supplies,Art
OS001,Office Supplies,Appliances
FUR002,Furniture,Chairs
FUR004,Furniture,Tables
OS003,Office Supplies,Binders
TEC001,Technology,Accessories
FUR001,Furniture,Bookcases
OS003,Office Supplies,Binders
FUR003,Furniture,Furnishings
OS004,Office Supplies,Envelopes
OS002,Office Supplies,Art
OS003,Office Supplies,Binders
OS002,Office Supplies,Art
OS007,Office Supplies,Paper
TEC004,Technology,Phones
FUR003,Furniture,Furnishings
OS004,Office Supplies,Envelopes
FUR001,Furniture,Bookcases
FUR002,Furniture,Chairs
TEC004,Technology,Phones
TEC004,Technology,Phones
OS008,Office Supplies,Storage
OS008,Office Supplies,Storage
TEC001,Technology,Accessories
OS003,Office Supplies,Binders
OS008,Office Supplies,Storage
TEC001,Technology,Accessories
TEC004,Technology,Phones
OS003,Office Supplies,Binders
OS006,Office Supplies,Labels
FUR003,Furniture,Furnishings
FUR002,Furniture,Chairs
OS005,Office Supplies,Fasteners
TEC004,Technology,Phones
OS008,Office Supplies,Storage
OS007,Office Supplies,Paper
FUR002,Furniture,Chairs
OS007,Office Supplies,Paper
TEC001,Technology,Accessories
OS003,Office Supplies,Binders
OS002,Office Supplies,Art
TEC001,Technology,Accessories
OS003,Office Supplies,Binders
OS007,Office Supplies,Paper
FUR003,Furniture,Furnishings
FUR002,Furniture,Chairs
OS002,Office Supplies,Art
TEC004,Technology,Phones
OS007,Office Supplies,Paper
OS003,Office Supplies,Binders
OS007,Office Supplies,Paper
FUR002,Furniture,Chairs
FUR003,Furniture,Furnishings
OS008,Office Supplies,Storage
OS003,Office Supplies,Binders
FUR003,Furniture,Furnishings
OS008,Office Supplies,Storage
FUR003,Furniture,Furnishings
OS001,Office Supplies,Appliances
OS003,Office Supplies,Binders
OS002,Office Supplies,Art
OS008,Office Supplies,Storage
OS004,Office Supplies,Envelopes
OS008,Office Supplies,Storage
FUR002,Furniture,Chairs
TEC001,Technology,Accessories
OS006,Office Supplies,Labels
OS008,Office Supplies,Storage
OS002,Office Supplies,Art
TEC004,Technology,Phones
OS007,Office Supplies,Paper
OS007,Office Supplies,Paper
FUR003,Furniture,Furnishings
OS003,Office Supplies,Binders
OS003,Office Supplies,Binders
FUR003,Furniture,Furnishings
OS003,Office Supplies,Binders
OS001,Office Supplies,Appliances
OS007,Office Supplies,Paper
TEC001,Technology,Accessories
OS003,Office Supplies,Binders
OS007,Office Supplies,Paper
TEC001,Technology,Accessories
FUR003,Furniture,Furnishings
OS003,Office Supplies,Binders
TEC001,Technology,Accessories
TEC004,Technology,Phones
