Shipping ID,Ship Mode,Courier,Order Date,Delivered Date,Delivery Timing,"City, State and Postal code"
AE-2023-1231682,Second Class,Parcel Express,2023-05-28,2023-06-17,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AE-2023-1263608,Second Class,Parcel Express,2023-05-23,2023-06-12,#DIV/0!,George Town-Penang-10200
AE-2023-303016,Second Class,Hero Van,2023-05-17,2023-06-06,#DIV/0!,Johor Bahru-Johor-80000
AE-2023-304471,Standard Class,HomeLaju,2023-05-23,2023-06-12,#DIV/0!,Kota Kinabalu-Sabah-88000
AE-2023-3123605,Standard Class,HomeLaju,2023-05-22,2023-06-21,#DIV/0!,Kuching-Sarawak-93000
AE-2023-3179243,Standard Class,Hero Van,2023-05-23,2023-06-02,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AE-2023-3323423,Standard Class,Parcel Express,2023-05-03,2023-05-23,#DIV/0!,George Town-Penang-10200
AE-2023-3371820,Standard Class,HomeLaju,2023-05-24,2023-06-03,#DIV/0!,Johor Bahru-Johor-80000
AE-2023-350473,Standard Class,Parcel Express,2023-05-17,2023-06-06,#DIV/0!,Kota Kinabalu-Sabah-88000
AE-2023-4073208,Standard Class,HomeLaju,2023-05-11,2023-06-10,#DIV/0!,Kuching-Sarawak-93000
AE-2023-4135578,Standard Class,Hero Van,2023-05-12,2023-05-22,#DIV/0!,Kuala Lumpur-Wilayah Persekutuan-50000
AE-2023-4220600,Standard Class,HomeLaju,2023-05-21,2023-05-31,#DIV/0!,George Town-Penang-10200
AE-2023-4244209,Standard Class,HomeLaju,2023-05-19,2023-05-29,#DIV/0!,Johor Bahru-Johor-80000
AE-2023-447833,Standard Class,HomeLaju,2023-05-22,2023-06-21,#DIV/0!,Kota Kinabalu-Sabah-88000
AE-2023-4984367,Standard Class,HomeLaju,2023-05-20,2023-05-30,Early,Kuching-Sarawak-93000
AE-2023-5077525,Standard Class,Parcel Express,2023-05-19,2023-05-29,Early,Kuala Lumpur-Wilayah Persekutuan-50000
AE-2023-5351828,Standard Class,Hero Van,2023-05-24,2023-06-13,On time,George Town-Penang-10200
AE-2023-5740368,Second Class,HomeLaju,2023-05-19,2023-06-18,Late,Johor Bahru-Johor-80000
AE-2023-5941050,Second Class,HomeLaju,2023-05-13,2023-06-12,Late,Kota Kinabalu-Sabah-88000
AE-2023-633725,Second Class,Hero Van,2023-05-13,2023-06-12,Late,Kuching-Sarawak-93000
AG-2023-1011961,Second Class,HomeLaju,2023-05-22,2023-06-11,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-1031598,Standard Class,Parcel Express,2023-05-07,2023-05-27,On time,George Town-Penang-10200
AG-2023-1110396,Standard Class,HomeLaju,2023-05-18,2023-06-17,Late,Johor Bahru-Johor-80000
AG-2023-1153827,Second Class,Parcel Express,2023-05-19,2023-06-18,Late,Kota Kinabalu-Sabah-88000
AG-2023-1231908,Standard Class,HomeLaju,2023-05-06,2023-05-26,On time,Kuching-Sarawak-93000
AG-2023-1275697,Second Class,Hero Van,2023-05-16,2023-06-05,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-1310837,Second Class,Parcel Express,2023-05-17,2023-06-06,On time,George Town-Penang-10200
AG-2023-1352224,Standard Class,Hero Van,2023-05-17,2023-06-16,Late,Johor Bahru-Johor-80000
AG-2023-1366085,Standard Class,Hero Van,2023-05-16,2023-06-15,Late,Kota Kinabalu-Sabah-88000
AG-2023-1400544,Standard Class,Hero Van,2023-05-15,2023-06-14,Late,Kuching-Sarawak-93000
AG-2023-1557147,Standard Class,Hero Van,2023-05-07,2023-06-06,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-1588096,Standard Class,Hero Van,2023-05-27,2023-06-06,Early,George Town-Penang-10200
AG-2023-1635797,Standard Class,Hero Van,2023-05-21,2023-06-20,Late,Johor Bahru-Johor-80000
AG-2023-1691731,Standard Class,HomeLaju,2023-05-10,2023-05-20,Early,Kota Kinabalu-Sabah-88000
AG-2023-179206,Second Class,Hero Van,2023-05-19,2023-06-08,On time,Kuching-Sarawak-93000
AG-2023-1957110,First Class,Parcel Express,2023-05-19,2023-06-08,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-1958395,First Class,HomeLaju,2023-05-03,2023-05-13,Early,George Town-Penang-10200
AG-2023-2056925,Standard Class,Hero Van,2023-05-23,2023-06-22,Late,Johor Bahru-Johor-80000
AG-2023-2066119,Standard Class,Parcel Express,2023-05-11,2023-06-10,Late,Kota Kinabalu-Sabah-88000
AG-2023-2198541,Standard Class,Hero Van,2023-05-03,2023-05-13,Early,Kuching-Sarawak-93000
AG-2023-2231275,Standard Class,Parcel Express,2023-05-01,2023-05-21,On time,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-2332510,Standard Class,Hero Van,2023-05-03,2023-06-02,Late,George Town-Penang-10200
AG-2023-2333770,Standard Class,Parcel Express,2023-05-13,2023-06-12,Late,Johor Bahru-Johor-80000
AG-2023-2383697,Standard Class,Hero Van,2023-05-04,2023-06-03,Late,Kota Kinabalu-Sabah-88000
AG-2023-2384745,First Class,Hero Van,2023-05-02,2023-05-12,Early,Kuching-Sarawak-93000
AG-2023-2424042,First Class,HomeLaju,2023-05-06,2023-06-05,Late,Kuala Lumpur-Wilayah Persekutuan-50000
AG-2023-2448243,Second Class,HomeLaju,2023-05-05,2023-05-25,On time,George Town-Penang-10200
AG-2023-2455899,Standard Class,HomeLaju,2023-05-02,2023-05-22,On time,Johor Bahru-Johor-80000
AG-2023-2534608,Standard Class,Parcel Express,2023-05-25,2023-06-24,Late,Kota Kinabalu-Sabah-88000
